date,value,satellite_flag
2023-12-04 09:00,9.6148,11000000000000000000000000000000
2023-12-04 10:00,4.0227,11000000000000000000000000000000
2023-12-04 11:00,0.0000,11000000000000000000000000000000
2023-12-04 12:00,0.0000,11000000000000000000000000000000
2023-12-04 13:00,0.0000,11000000000000000000000000000000
2023-12-04 14:00,0.0000,11000000000000000000000000000000
2023-12-04 15:00,1.8596,11000000000000000000000000000000
2023-12-04 16:00,1.3293,11000000000000000000000000000000
2023-12-04 17:00,0.5847,11000000000000000000000000000000
2023-12-04 18:00,0.2409,11000000000000000000000000000000
2023-12-04 19:00,0.0787,11000000000000000000000000000000
2023-12-04 20:00,0.0000,01000000000000000010000000000000
2023-12-04 21:00,0.0000,11000000000000000000000000000000
2023-12-04 22:00,0.0000,01000000000000000000000000100000
2023-12-04 23:00,0.0000,11000000000000000000000000000000
2023-12-05 00:00,0.0000,11000000000000000000000000000000
2023-12-05 01:00,0.0000,11000000000000000000000000000000
2023-12-05 02:00,0.0000,01000000000000100000000000000000
2023-12-05 03:00,0.0000,11000000000000000000000000000000
2023-12-05 04:00,0.0000,11000000000000000000000000000000
2023-12-05 05:00,0.0000,11000000000000000000000000000000
2023-12-05 06:00,0.0000,11000000000000000000000000000000
2023-12-05 07:00,0.0000,11000000000000000000000000000000
2023-12-05 08:00,0.0000,11000000000000000000000000000000
2023-12-05 09:00,0.0000,01000000000000000010000000000000
2023-12-05 10:00,0.0000,11000000000000000000000000000000
2023-12-05 11:00,0.0817,11000000000000000000000000000000
2023-12-05 12:00,1.8402,11000000000000000000000000000000
2023-12-05 13:00,0.5458,11000000000000000000000000000000
2023-12-05 14:00,0.7091,01000000000000100000000000000000
2023-12-05 15:00,0.1883,11000000000000000000000000000000
2023-12-05 16:00,0.0000,11000000000000000000000000000000
2023-12-05 17:00,0.0000,11000000000000000000000000000000
2023-12-05 18:00,0.0000,01000000000000010000000000000000
2023-12-05 19:00,0.0000,11000000000000000000000000000000
2023-12-05 20:00,0.0000,01000000000000000010000000000000
2023-12-05 21:00,0.0000,11000000000000000000000000000000
2023-12-05 22:00,0.0000,01000000000000000000000000100000
2023-12-05 23:00,0.0000,11000000000000000000000000000000
2023-12-06 00:00,0.0000,11000000000000000000000000000000
2023-12-06 01:00,0.0000,01000000000000100000000000000000
